path,origin,copyright_holder,license,redistribution_status,included_in_public_package,reason
provenance/INDEPENDENT_NUMERICAL_AUDIT_20260823.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/INDEPENDENT_NUMERICAL_AUDIT_20260823.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/LICENSE_MATRIX.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/MIGRATION_RECORD.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/PUBLIC_EXCLUSIONS.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/RELEASE_4_0_1_CHANGE_RECORD.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/RELEASE_4_0_2_CHANGE_RECORD.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/RELEASE_4_0_3_CHANGE_RECORD.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/ROMAN_MIT_PATHS.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/RUN_PROVENANCE.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/SOURCE_LOCKS.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/README.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/SHA256SUMS_constant_aggregate.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/SHA256SUMS_galactic_constant.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/SHA256SUMS_galactic_zero.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/SHA256SUMS_zero_aggregate.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/control_comparison.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/joint_posterior_constant_aggregate_summary.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/joint_posterior_zero_aggregate_summary.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/local_vs_frozen_comparison.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
provenance/independent-audit-evidence/numerical_environment.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
pyproject.toml,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
requirements.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/IPython/__init__.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/IPython/display.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/MCMC_PROTOCOL.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/MEASUREMENT_ERROR_MODES.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/MODIFICATIONS_BRYSON.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/PHASE1_MEASUREMENT_ERROR_REPORT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/PHASE2_NUMERICAL_FREEZE_REPORT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/aggregate_hab2_joint_posterior.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/clustered_monte_carlo.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/compare_mcmc_seed_families.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/freeze_v4_numerical_results.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/frozen-v4/V4_NUMERICAL_FREEZE.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/frozen-v4/V4_NUMERICAL_FREEZE.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/frozen-v4/v4_galactic_quantiles.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/frozen-v4/v4_parameter_quantiles.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/ipywidgets.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/mcmc_convergence.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/measurement_error.py,Modified from stevepur/DR25-occurrence-public@d200f54b6f0df49e0dae530e69983cdce5397bfb,Upstream copyright holders and Roman Jerše,GPL-2.0-only,CLEAR_WITH_NOTICE,yes,"Derivative component; preserve GPL text, source identification, and modification notice."
research/bryson-joint-posterior/propagate_hab2_joint_posterior.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/run_hab2_joint_posterior.py,Modified from stevepur/DR25-occurrence-public@d200f54b6f0df49e0dae530e69983cdce5397bfb,Upstream copyright holders and Roman Jerše,GPL-2.0-only,CLEAR_WITH_NOTICE,yes,"Derivative component; preserve GPL text, source identification, and modification notice."
research/bryson-joint-posterior/test_adaptive_aggregation.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/test_clustered_monte_carlo.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/test_mcmc_convergence.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/bryson-joint-posterior/test_measurement_error.py,Modified from stevepur/DR25-occurrence-public@d200f54b6f0df49e0dae530e69983cdce5397bfb,Upstream copyright holders and Roman Jerše,GPL-2.0-only,CLEAR_WITH_NOTICE,yes,"Derivative component; preserve GPL text, source identification, and modification notice."
research/bryson-joint-posterior/test_propagate_host_measure.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/TAMS_METHOD_NOTE.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/assert_canonical_tams.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/bryson_model_form_sensitivity.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/export_raw_eligible.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/hz_boundary_sensitivity.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/metallicity_tams_differential_sensitivity.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/promote_tams_provider.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/recalc_all_branches_tams.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/reference-data/TAMS_BOUNDARY_PROVENANCE.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/reference-data/tams_parsec_danxhuber.txt,danxhuber/evolstate@5e904afad81805c4e3ac4c3f78510a2a1df33d14:tams_parsec.txt,Daniel Huber,MIT,CLEAR_WITH_NOTICE,yes,Verbatim table; redistribute with Daniel Huber's MIT notice.
research/jj-host-export/run_jj_export.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/tams_ab_test.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/tams_reference.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/test_metallicity_tams_validation.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-host-export/test_tams_wording.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-tams-convergence/compare_convergence.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/jj-tams-convergence/tams_radial_convergence.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/PHASE3_DR25_SUPPORT_REPORT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/PHASE3_HOST_TAMS_REPORT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/PHASE4_PRIMARY_LITERATURE_REPORT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/PHASE4_SENSITIVITY_FREEZE_REPORT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/audit_v4_statistical_baseline.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/dr25_support_audit.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-dr25-support/dr25_support_audit.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-dr25-support/dr25_target_counts_by_trial.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-host-tams/SHA256SUMS_host_tams_audit.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-host-tams/host_selector_sensitivity.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-host-tams/host_tams_audit.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-literature/SHA256SUMS_primary_literature.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-literature/primary_literature_comparison.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-literature/primary_literature_comparison.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-sensitivities/SHA256SUMS_v4_sensitivity_freeze.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-sensitivities/V4_SENSITIVITY_FREEZE.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-sensitivities/v4_sensitivity_register.csv,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-statistical-baseline/SHA256SUMS_v4_statistical_baseline.txt,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-statistical-baseline/V4_STATISTICAL_BASELINE_AUDIT.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/frozen-statistical-baseline/V4_STATISTICAL_BASELINE_AUDIT.md,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/host_tams_audit.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/make_v4_figures.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/primary_literature_comparison.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/primary_literature_sources.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/sensitivity_freeze.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/test_data_locks.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/test_dr25_support_audit.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/test_host_tams_audit.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/test_primary_literature_comparison.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/test_sensitivity_freeze.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/test_v4_statistical_baseline.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
research/v4-validation/v4_statistical_baseline_github_evidence.json,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/audit_repository_scope.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/build_license_matrix.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/build_manifest.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/build_public_package.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/fetch_locked_inputs.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/verify_frozen_manifests.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/verify_license_policy.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/verify_locked_inputs.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/verify_public_package_roundtrip.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
scripts/verify_release_metadata.py,Original repository material by Roman Jerše,Roman Jerše,MIT,CLEAR,yes,Author-declared original material; MIT grant recorded in the repository.
